,sbj,Trial,rt,item_value_1,item_value_2,choice,DwellLeft,DwellRight,OV,rt_max,Right,gaze_1,gaze_2,diff,Overall Value,Right Value - Left Value,gaze diff,Dwell Time Advantage (R - L),Magnitude
0,1,2.0,1.913,3.0,2.0,1.0,698.0,798.0,5.0,3.794033043306947,0,0.46657754010695185,0.5334224598930482,1.0,5.0,-1.0,4.0,0.0,Low
1,1,3.0,1.121,5.0,10.0,2.0,540.0,262.0,15.0,3.794033043306947,1,0.6733167082294265,0.3266832917705736,5.0,15.0,5.0,2.0,-0.5,High
2,1,4.0,2.051,6.0,6.0,2.0,743.0,857.0,12.0,3.794033043306947,1,0.464375,0.535625,0.0,12.0,0.0,4.0,0.0,High
3,1,5.0,1.655,6.0,7.0,2.0,519.0,700.0,13.0,3.794033043306947,1,0.4257588187038556,0.5742411812961444,1.0,13.0,1.0,5.0,0.25,High
4,1,9.0,2.504,6.0,2.0,1.0,1137.0,1032.0,8.0,3.794033043306947,0,0.5242047026279392,0.47579529737206083,4.0,8.0,-4.0,4.0,0.0,High
5,1,10.0,2.002,3.0,3.0,1.0,738.0,940.0,6.0,3.794033043306947,0,0.4398092967818832,0.5601907032181168,0.0,6.0,0.0,5.0,0.25,Low
6,1,11.0,1.426,6.0,5.0,1.0,1057.0,0.0,11.0,3.794033043306947,0,1.0,0.0,1.0,11.0,-1.0,0.0,-1.0,High
7,1,16.0,1.065,5.0,8.0,2.0,340.0,420.0,13.0,3.794033043306947,1,0.4473684210526316,0.5526315789473685,3.0,13.0,3.0,4.0,0.0,High
8,1,17.0,1.209,6.0,8.0,1.0,376.0,499.0,14.0,3.794033043306947,0,0.4297142857142857,0.5702857142857143,2.0,14.0,2.0,5.0,0.25,High
9,1,18.0,1.604,4.0,6.0,2.0,1356.0,0.0,10.0,3.794033043306947,1,1.0,0.0,2.0,10.0,2.0,0.0,-1.0,High
10,1,19.0,1.439,2.0,6.0,2.0,658.0,516.0,8.0,3.794033043306947,1,0.5604770017035775,0.4395229982964225,4.0,8.0,4.0,3.0,-0.25,High
11,1,22.0,1.27,1.0,5.0,2.0,598.0,319.0,6.0,3.794033043306947,1,0.6521264994547438,0.3478735005452563,4.0,6.0,4.0,3.0,-0.25,Low
12,1,23.0,1.452,4.0,3.0,1.0,700.0,299.0,7.0,3.794033043306947,0,0.7007007007007007,0.2992992992992993,1.0,7.0,-1.0,2.0,-0.5,Low
13,1,24.0,3.525,2.0,2.0,2.0,1479.0,1545.0,4.0,3.794033043306947,1,0.48908730158730157,0.5109126984126984,0.0,4.0,0.0,4.0,0.0,Low
14,1,25.0,3.439,4.0,3.0,1.0,1539.0,1612.0,7.0,3.794033043306947,0,0.488416375753729,0.511583624246271,1.0,7.0,-1.0,4.0,0.0,Low
15,1,26.0,3.582,1.0,2.0,1.0,2073.0,1036.0,3.0,3.794033043306947,0,0.6667738822772595,0.3332261177227404,1.0,3.0,1.0,2.0,-0.5,Low
16,1,27.0,2.023,6.0,8.0,1.0,982.0,679.0,14.0,3.794033043306947,0,0.5912101143889223,0.40878988561107765,2.0,14.0,2.0,3.0,-0.25,High
